"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"LNLS_LOGO";1;"LOGO";;;
2;"F4,F3,F2,F1";"MountingHole_4mm";4;"Furo de fixação (4mm)";;;
3;"C1";"C_1210_HandSoldering";1;"4.7µF";;;
4;"C2,C5";"C_0805_HandSoldering";2;"100nF";;;
5;"C3";"C_0805_HandSoldering";1;"10nF";;;
6;"C4,C6,C8";"C_0805_HandSoldering";3;"330nF";;;
7;"C7";"C_0805_HandSoldering";1;"47nF";;;
8;"FB1";"R_0805_HandSoldering";1;"40Ω @ 100 MHz";;;
9;"P1";"USB_Mini-B";1;"USB Mini-B";;;
10;"P2";"DB9_TE";1;"DB-9";;;
11;"R4,R5";"R_0805_HandSoldering";2;"330Ω";;;
12;"U1";"SSOP-28_5.3x10.2mm_Pitch0.65mm";1;"FT232RL";;;
13;"U2";"SOIC-28W_7.5x17.9mm_Pitch1.27mm";1;"MAX3243EIDW";;;
14;"D1,D2";"LED_para_painel_KINGBRIGHT";2;"LED";;;
15;"fiducial,fiducial";"Fiducial_1mm_Dia_2.54mm_Outer_CopperTop";2;"Fiducial_1mm_Dia_2.54mm_Outer_CopperTop";;;
